gene,gs001,gs002,gs003,gs004,gs005,gs006,gs007,gs008,gs009,gs010,gs011,gs012,gs013,gs014,gs015,gs016,gs017,gs018,gs019,gs020,gs021,gs022,gs023,gs024
ACVR1C,111.112499199288,141.329750411372,103.755770749256,160.310220282018,121.195441949359,123.108261436552,119.951785427398,144.56431154575,129.047947782967,125.238045608533,139.955911653141,127.67182959566,103.144644602059,125.697760300086,105.620830595744,116.41892134158,108.956155554446,138.435593020172,117.092637178012,130.414312130801,105.080711265076,120.971487876906,79.1102299014583,126.241320733148
ACVR2A,113.403478564222,123.383115438499,139.184570517295,141.989052249787,120.206091402833,120.92935415449,134.317268712116,120.19009622699,136.422116227708,128.469995172624,114.380212061704,141.306685183546,133.22849927766,111.11404225422,125.969797958227,118.909165648351,108.266559633215,122.573181319944,119.666101731375,127.026927400131,127.20296626825,110.452228061523,149.43043425831,135.615676233134
ACY1,116.839947611623,150.303067897808,118.939542078416,128.248176225614,110.312585937579,118.750446872427,107.741124635387,108.423233659313,158.54462156193,122.814083435464,127.168061857423,114.036974007774,127.856382371302,129.17007412053,108.527825933242,125.134776415281,126.196053585213,129.783368456412,121.596200146398,117.429337329899,123.884628017774,147.269637415364,127.455370396794,118.116879299826
ADA,118.558182135323,96.4631629791902,144.245827627015,164.890512290076,127.626220501774,136.726431949445,122.824882084342,141.202350812128,169.605874229042,146.245717775125,125.036753558136,144.405515998974,130.005229133845,138.198090053686,138.566777754049,122.021971031816,110.335347396907,112.47891932889,117.736003316353,139.447338079255,121.119346142377,123.601302830752,149.43043425831,126.241320733148
ADAM12,117.98543729409,136.843091668154,139.184570517295,398.485404701016,135.541024873977,130.734436923773,130.007623726701,107.582743475907,99.5512740040028,115.542196916259,127.878497957185,133.869491226517,133.22849927766,130.558999648708,118.217810391567,114.551238111501,138.608780167365,128.341331029118,117.736003316353,152.432312880157,162.045517898248,131.490747692289,92.295268218368,128.116191833145
ADGRE1,122.567396023957,107.679809837236,149.307084736735,128.248176225614,124.658168862197,120.92935415449,112.769043785039,122.711566777206,125.360863560596,117.158171698305,143.508092151952,136.34855587886,132.154075896388,133.336850705064,111.434821270739,143.811608716069,142.056759773518,126.178274888178,125.456396976442,141.14103044459,123.884628017774,128.860932738443,79.1102299014583,113.7421800665
ADH1A,114.548968246689,116.653127323672,108.817027858976,123.667884217557,138.509076513553,116.571539590364,140.063462026004,163.895585764077,103.238358226373,121.198108653419,107.986287163845,135.109023552689,113.888878414774,133.336850705064,122.093804174897,125.134776415281,117.920902530445,118.247069038064,115.16253876299,125.333235034796,115.035726016504,115.711857969214,118.665344852187,120.616707433156
ADH1B,25.2007730142716,8.9733174864363,12.6531427742996,36.6423360644613,18.7976603839821,26.1468873847545,22.2664990913134,22.6932349519491,33.1837580013343,19.391697384547,19.1817746935777,22.9313480341719,26.8605845317862,22.9172712149328,29.0699533749754,26.1475652211034,20.6878776369201,23.7936175503421,26.3780116719698,26.5345137235829,20.4630858779358,13.1490747692289,43.9501277230324,21.2485391333021
ADH1C,129.440334118759,145.81640915459,111.347656413836,137.40876024173,134.056999054188,122.018807795521,119.233511263162,145.404801729156,173.292958451412,121.198108653419,122.90544525885,130.770660411088,141.823886327831,129.17007412053,125.000799512394,128.247581798745,125.506457663982,126.899293601825,139.610452019938,153.561441123714,134.392699144281,126.231117784597,118.665344852187,123.741492599818
ADH4,129.440334118759,130.113103553326,126.531427742996,178.631388314249,124.163493588935,151.978782923886,126.416252905521,154.650193746616,147.483368894819,148.669679948194,143.508092151952,122.713700290974,121.409842083674,141.67040387413,140.504774645714,149.414658406305,140.677567931057,135.551518165585,143.470648849982,136.624517470363,131.627417268884,155.159082276901,92.295268218368,143.115160633123
